"WHO region","Year","Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)"
"South-East Asia"," 2008","45.6 [44.2-47.2]"," 31.4","59.7 [57.5-62.1]"
"South-East Asia"," 2007","47.2 [45.8-48.8]"," 32.4","61.8 [59.5-64.2]"
"South-East Asia"," 2006","49.1 [47.7-50.6]"," 33.4","64.5 [62.3-66.9]"
"South-East Asia"," 2005","50.9 [49.6-52.5]"," 34.5","67.4 [65.2-69.8]"
"South-East Asia"," 2004","53.1 [51.6-54.6]"," 35.6","71.2 [69.0-73.6]"
"South-East Asia"," 2003","55.0 [53.5-56.4]"," 36.9","73.6 [71.3-75.9]"
"South-East Asia"," 2002","57.0 [55.6-58.6]"," 38.2","76.8 [74.6-79.2]"
"South-East Asia"," 2001","59.2 [57.7-60.8]"," 39.5","80.1 [77.9-82.6]"
"South-East Asia"," 2000","61.4 [59.9-63.0]"," 40.8","83.6 [81.3-86.1]"
"South-East Asia"," 1999","63.6 [62.1-65.3]"," 42.1","87.0 [84.6-89.6]"
"South-East Asia"," 1998","65.8 [64.2-67.5]"," 43.2","90.4 [87.9-93.1]"
"South-East Asia"," 1997","67.9 [66.3-69.7]"," 44.3","93.9 [91.2-96.6]"
"South-East Asia"," 1996","70.1 [68.4-71.9]"," 45.5","97.2 [94.6-100.0]"
"South-East Asia"," 1995","72.2 [70.5-74.0]"," 46.6","100.6 [98.0-103.5]"
"South-East Asia"," 1994","74.4 [72.7-76.2]"," 47.8","104.0 [101.3-106.9]"
"South-East Asia"," 1993","76.6 [74.9-78.5]"," 49.0","107.5 [104.8-110.4]"
"South-East Asia"," 1992","78.9 [77.1-80.8]"," 50.2","111.0 [108.2-114.0]"
"South-East Asia"," 1991","81.2 [79.4-83.2]"," 51.5","114.6 [111.8-117.7]"
"South-East Asia"," 1990","83.6 [81.7-85.6]"," 52.8","118.3 [115.3-121.4]"
"Europe"," 2015","9.8 [8.7-11.9]"," 6.0","11.3 [10.1-14.1]"
"Europe"," 2014","10.2 [9.1-12.2]"," 6.2","11.7 [10.5-14.3]"
"Europe"," 2013","10.5 [9.4-12.4]"," 6.4","12.1 [10.9-14.6]"
"Europe"," 2012","10.8 [9.7-12.5]"," 6.6","12.5 [11.3-14.8]"
"Europe"," 2011","11.1 [10.1-12.8]"," 6.8","12.9 [11.7-15.0]"
"Europe"," 2010","11.5 [10.5-13.0]"," 7.1","13.4 [12.2-15.4]"
"Europe"," 2009","11.9 [11.0-13.3]"," 7.3","13.9 [12.8-15.8]"
"Europe"," 2008","12.4 [11.5-13.7]"," 7.6","14.5 [13.4-16.2]"
"Europe"," 2007","13.0 [12.1-14.2]"," 7.9","15.2 [14.2-16.8]"
"Europe"," 2006","13.6 [12.8-14.7]"," 8.3","16.0 [15.0-17.4]"
"Europe"," 2005","14.3 [13.5-15.3]"," 8.7","16.9 [15.9-18.2]"
"Europe"," 2004","15.0 [14.3-15.9]"," 9.1","17.8 [16.9-19.0]"
"Europe"," 2003","15.9 [15.2-16.7]"," 9.7","18.9 [18.0-19.9]"
"Europe"," 2002","16.7 [16.1-17.5]"," 10.1","20.0 [19.2-21.0]"
